"","work_year","job_category","salary_in_usd","experience_level","employment_type","work_setting","company_size","is_Data_Engineer","is_Data_Scientist","is_Data_Analyst","is_Machine_Learning_Engineer","is_Applied_Scientist","is_Research_Scientist","is_Analytics_Engineer","is_Data_Architect","is_residence_US"
"1",2023,"Data Engineering",95012,"Mid-level","Full-time","Hybrid","L",0,0,0,0,0,0,0,0,0
"2",2023,"Data Architecture and Modeling",186000,"Senior","Full-time","In-person","M",0,0,0,0,0,0,0,1,1
"3",2023,"Data Architecture and Modeling",81800,"Senior","Full-time","In-person","M",0,0,0,0,0,0,0,1,1
"4",2023,"Data Science and Research",212000,"Senior","Full-time","In-person","M",0,1,0,0,0,0,0,0,1
"5",2023,"Data Science and Research",93300,"Senior","Full-time","In-person","M",0,1,0,0,0,0,0,0,1
"6",2023,"Data Science and Research",130000,"Senior","Full-time","Remote","M",0,1,0,0,0,0,0,0,1
"7",2023,"Data Science and Research",100000,"Senior","Full-time","Remote","M",0,1,0,0,0,0,0,0,1
"8",2023,"Machine Learning and AI",224400,"Mid-level","Full-time","In-person","M",0,0,0,0,0,0,0,0,1
"9",2023,"Machine Learning and AI",138700,"Mid-level","Full-time","In-person","M",0,0,0,0,0,0,0,0,1
"10",2023,"Data Engineering",210000,"Executive","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"11",2023,"Data Engineering",168000,"Executive","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"12",2023,"Machine Learning and AI",224400,"Senior","Full-time","In-person","M",0,0,0,1,0,0,0,0,1
"13",2023,"Machine Learning and AI",138700,"Senior","Full-time","In-person","M",0,0,0,1,0,0,0,0,1
"14",2023,"Data Science and Research",43064,"Mid-level","Full-time","In-person","M",0,1,0,0,0,0,0,0,0
"15",2023,"Data Science and Research",36912,"Mid-level","Full-time","In-person","M",0,1,0,0,0,0,0,0,0
"16",2023,"Data Analysis",95000,"Entry-level","Full-time","In-person","M",0,0,1,0,0,0,0,0,1
"17",2023,"Data Analysis",75000,"Entry-level","Full-time","In-person","M",0,0,1,0,0,0,0,0,1
"18",2023,"Data Science and Research",300000,"Senior","Full-time","In-person","M",0,1,0,0,0,0,0,0,1
"19",2023,"Data Science and Research",234000,"Senior","Full-time","In-person","M",0,1,0,0,0,0,0,0,1
"20",2023,"Leadership and Management",140000,"Mid-level","Full-time","In-person","M",0,0,0,0,0,0,1,0,1
"21",2023,"Leadership and Management",120000,"Mid-level","Full-time","In-person","M",0,0,0,0,0,0,1,0,1
"22",2023,"Machine Learning and AI",204500,"Mid-level","Full-time","In-person","M",0,0,0,1,0,0,0,0,1
"23",2023,"Machine Learning and AI",142200,"Mid-level","Full-time","In-person","M",0,0,0,1,0,0,0,0,1
"24",2023,"Data Analysis",155000,"Mid-level","Full-time","In-person","M",0,0,1,0,0,0,0,0,1
"25",2023,"Data Analysis",110000,"Mid-level","Full-time","In-person","M",0,0,1,0,0,0,0,0,1
"26",2023,"Machine Learning and AI",266500,"Senior","Full-time","In-person","M",0,0,0,1,0,0,0,0,1
"27",2023,"Machine Learning and AI",152000,"Senior","Full-time","In-person","M",0,0,0,1,0,0,0,0,1
"28",2023,"Data Science and Research",222200,"Mid-level","Full-time","In-person","L",0,0,0,0,1,0,0,0,1
"29",2023,"Data Science and Research",136000,"Mid-level","Full-time","In-person","L",0,0,0,0,1,0,0,0,1
"30",2023,"Machine Learning and AI",273400,"Senior","Full-time","In-person","M",0,0,0,1,0,0,0,0,1
"31",2023,"Machine Learning and AI",182200,"Senior","Full-time","In-person","M",0,0,0,1,0,0,0,0,1
"32",2023,"BI and Visualization",167500,"Senior","Full-time","In-person","M",0,0,0,0,0,0,0,0,1
"33",2023,"BI and Visualization",106500,"Senior","Full-time","In-person","M",0,0,0,0,0,0,0,0,1
"34",2023,"Data Engineering",185900,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"35",2023,"Data Engineering",129300,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"36",2023,"BI and Visualization",185000,"Mid-level","Full-time","In-person","L",0,0,0,0,0,0,0,0,1
"37",2023,"BI and Visualization",79600,"Mid-level","Full-time","In-person","L",0,0,0,0,0,0,0,0,1
"38",2023,"Data Engineering",122000,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"39",2023,"Data Engineering",94500,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"40",2023,"Data Engineering",247300,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"41",2023,"Data Engineering",139700,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"42",2023,"Data Analysis",176000,"Senior","Full-time","In-person","M",0,0,1,0,0,0,0,0,1
"43",2023,"Data Analysis",100000,"Senior","Full-time","In-person","M",0,0,1,0,0,0,0,0,1
"44",2023,"Machine Learning and AI",204500,"Senior","Full-time","In-person","M",0,0,0,1,0,0,0,0,1
"45",2023,"Machine Learning and AI",142200,"Senior","Full-time","In-person","M",0,0,0,1,0,0,0,0,1
"46",2023,"Data Science and Research",247600,"Senior","Full-time","In-person","L",0,0,0,0,0,1,0,0,1
"47",2023,"Data Science and Research",127300,"Senior","Full-time","In-person","L",0,0,0,0,0,1,0,0,1
"48",2023,"Data Science and Research",223400,"Senior","Full-time","Remote","M",0,1,0,0,0,0,0,0,1
"49",2023,"Data Science and Research",186200,"Senior","Full-time","Remote","M",0,1,0,0,0,0,0,0,1
"50",2023,"Data Engineering",167500,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"51",2023,"Data Engineering",106500,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"52",2023,"Data Science and Research",185900,"Senior","Full-time","In-person","M",0,1,0,0,0,0,0,0,1
"53",2023,"Data Science and Research",129300,"Senior","Full-time","In-person","M",0,1,0,0,0,0,0,0,1
"54",2023,"Data Science and Research",72000,"Entry-level","Full-time","Remote","M",0,0,0,0,0,0,0,0,1
"55",2023,"Data Science and Research",64000,"Entry-level","Full-time","Remote","M",0,0,0,0,0,0,0,0,1
"56",2023,"Leadership and Management",179820,"Senior","Full-time","In-person","M",0,0,0,0,0,0,1,0,1
"57",2023,"Leadership and Management",143860,"Senior","Full-time","In-person","M",0,0,0,0,0,0,1,0,1
"58",2023,"Data Science and Research",283050,"Senior","Full-time","In-person","M",0,0,0,0,0,1,0,0,1
"59",2023,"Data Science and Research",188700,"Senior","Full-time","In-person","M",0,0,0,0,0,1,0,0,1
"60",2023,"Data Engineering",133000,"Mid-level","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
